Time (s),Max Temperature (C),68.2% Distance (cm),95.4% Distance (cm)
0,28.554,9.833333333333334,7.166666666666667
5,30.867,2.6666666666666665,7.166666666666667
15,31.733,5.333333333333333,7.166666666666667
20,33.142,2.1666666666666665,8.5
30,35.851,4.666666666666667,8.5
60,37.553,5.166666666666667,7.5
90,38.742,0.6666666666666666,8.666666666666666
120,39.235,1.8333333333333333,8.0
150,39.856,6.833333333333333,8.333333333333334
180,40.443,6.833333333333333,8.333333333333334
210,41.578,3.5,5.666666666666667
240,42.832,10.166666666666666,7.0
300,43.726,1.5,7.0
