Time (s),Max Temperature (C),68.2% Distance (cm),95.4% Distance (cm)
0,26.812,8.5,8.5
5,26.597,3.8333333333333335,3.8333333333333335
10,26.633,5.5,5.5
15,26.562,2.0,11.5
20,26.562,4.666666666666667,4.666666666666667
30,26.382,10.5,2.1666666666666665
60,28.448,7.166666666666667,3.1666666666666665
90,27.988,5.5,4.833333333333333
120,27.882,1.3333333333333333,4.833333333333333
150,27.526,5.333333333333333,4.833333333333333
180,27.704,6.0,6.0
210,27.739,12.166666666666666,4.0
240,28.625,12.666666666666666,5.166666666666667
270,28.802,6.333333333333333,3.3333333333333335
300,28.272,8.5,8.5
330,28.272,11.833333333333334,11.833333333333334
