time (s),change in max temperature (C),68.2% Distance (cm),95.4% Distance (cm)
0,4.052164062500005,13.333333333333334,4.166666666666667
5,17.7905859375,4.666666666666667,2.1666666666666665
10,41.5577578125,1.0,3.1666666666666665
15,50.72513281249999,1.0,3.8333333333333335
20,58.295031249999994,1.0,1.6666666666666667
30,76.513421875,1.0,10.333333333333334
60,112.36736718750001,1.0,7.0
90,134.75096875,1.1666666666666667,5.166666666666667
120,150.5625,1.0,6.166666666666667
150,159.7292109375,1.1666666666666667,2.0
180,165.1492421875,1.1666666666666667,6.333333333333333
210,171.10399218749998,1.1666666666666667,2.1666666666666665
240,175.85229687499998,1.1666666666666667,2.0
270,182.129359375,1.1666666666666667,2.0
300,185.1432109375,1.1666666666666667,2.1666666666666665
