Time (s),Max Temperature (C),68.2% Distance (cm),95.4% Distance (cm)
0,29.013,2.0,1.6666666666666667
5,30.554,4.0,2.1666666666666665
10,30.832,5.666666666666667,5.833333333333333
15,30.449,4.833333333333333,4.833333333333333
20,30.936,4.833333333333333,4.833333333333333
30,30.345,3.8333333333333335,3.8333333333333335
60,30.135,4.166666666666667,4.166666666666667
90,30.065,6.333333333333333,6.333333333333333
120,29.575,5.666666666666667,5.666666666666667
150,29.575,5.666666666666667,5.666666666666667
180,29.82,6.333333333333333,6.333333333333333
210,30.205,12.833333333333334,12.833333333333334
240,30.135,5.833333333333333,5.833333333333333
270,29.96,12.833333333333334,12.833333333333334
300,29.75,4.333333333333333,4.333333333333333
